,Name,Image_x,Gender,Personality,Species,Birthday,Horoscope,Initial_Phrase,Initial Clothes,Home_Request,Skill,Goal,Coffee,Style,Favorite_Song,Appearances,Rank_Overall,Rank,Image_y,Updated Date,Tier
64,Rudy,https://vignette.wikia.nocookie.net/animalcrossing/images/3/35/Rudy_HD.png/revision/latest/scale-to-width-down/350?cb=20180917123841,Male,Jock,Cat,December 20th (Sagittarius),Sagittarius,"""mush""",Red-Grid Tee NLSimple Parka NH,A chess room,Cramming For Tests,Artist,"Mocha,Just a little bit of milk,One spoonful of sugar",Sporty,The K. Funk,"NL, NH",98,28,https://www.animalcrossingportal.com/images/villagers/icons/rudy.png,1st May 2020,Tier 4
272,Agent S,https://vignette.wikia.nocookie.net/animalcrossing/images/a/a7/Agent_S_NH.png/revision/latest?cb=20200309020615,Female,Peppy,Squirrel,July 2nd (Cancer),Cancer,"""sidekick""",No. 2 Shirt,A superhero training area,Limboing,Dancer,"Mocha,The regular amount of milk,Two spoonfuls of sugar",Sporty,Dj K.K.,"AFe+, WW, CF, NL, HHD, PC, NH",99,29,https://www.animalcrossingportal.com/images/villagers/icons/agent-s.png,1st May 2020,Tier 4
382,Willow,https://vignette.wikia.nocookie.net/animalcrossing/images/6/62/Willow_NH.png/revision/latest?cb=20200321210031,Female,Snooty,Sheep,November 26th (Sagittarius),Sagittarius,"""bo peep""",Bad Plaid Tee,An alpine-themed home,Playing Old Maid,Designer,"Mocha,  No milk,  No sugar",Cute,K.K. Étude,"AFe+, CF, NL, NH",100,30,https://www.animalcrossingportal.com/images/villagers/icons/willow.png,1st May 2020,Tier 4
311,Shep,https://vignette.wikia.nocookie.net/animalcrossing/images/9/9f/Shep.png/revision/latest?cb=20160504180744,Male,Smug,Dog,November 24th (Sagittarius),Sagittarius,"""baa baa baa""",Denim Vest,Unknown,Speed Reading,Professor,"Blue Mountain,Lots of milk,Three spoonfuls of sugar",Historical,K.K. Reggae,"NL, NH",101,31,https://www.animalcrossingportal.com/images/villagers/icons/shep.png,1st May 2020,Tier 4
32,Roscoe,https://vignette.wikia.nocookie.net/animalcrossing/images/3/3f/-Roscoe_-_Animal_Crossing_New_Leaf.png/revision/latest/scale-to-width-down/335?cb=20130708031445,Male,Cranky,Horse,June 16th (Gemini),Gemini,"""nay""",Checkered Tee,A black and white bastion,Making Crafts,Lawyer,"Mocha,Just a little bit of milk,One spoonful of sugar",Cool,K.K. Dirge,"AFe+, WW, CF, HHD, PC, NH",102,32,https://www.animalcrossingportal.com/images/villagers/icons/roscoe.png,1st May 2020,Tier 4
189,Celia,https://vignette.wikia.nocookie.net/animalcrossing/images/0/00/Celia_NH.png/revision/latest/scale-to-width-down/350?cb=20200225031028,Female,Normal,Eagle,March 25th (Aries),Aries,"""feathers""",Loud-Bloom Tee,A royal chamber,Brainteasers,Florist,"Mocha,The regular amount of milk,Two spoonfuls of sugar",Cute,K.K. Aria,"NL, HHD, PC, NH",103,33,https://www.animalcrossingportal.com/images/villagers/icons/celia.png,1st May 2020,Tier 4
385,Pecan,https://vignette.wikia.nocookie.net/animalcrossing/images/6/60/Pecan_NH.png/revision/latest/scale-to-width-down/350?cb=20200309020952,Female,Snooty,Squirrel,September 10 (Virgo),Virgo,"""chipmunk""",Red-Check Tee (until NL)Milkmaid Dress (NH),A chic and relaxed room,Forgetting Stuff,Translator,"Blend,No milk,No sugar",Official,Café K.K.,"AF, AF+, AC, AFe+, WW, CF, NL, PC, NH",104,34,https://www.animalcrossingportal.com/images/villagers/icons/pecan.png,1st May 2020,Tier 4
168,Hornsby,https://vignette.wikia.nocookie.net/animalcrossing/images/9/95/Hornsby_NH.png/revision/latest/scale-to-width-down/333?cb=20200312014627,Male,Lazy,Rhino,March 20th (Pisces),Pisces,"""schnozzle""",Chevron Shirt,Unknown,Bunting,Artist,"Blend,A little bit of milk,1 spoonful of sugar",Unknown,K.K. Lament,"AF, AF+, AC, AFe+, NL, NH",105,35,https://www.animalcrossingportal.com/images/villagers/icons/hornsby.png,1st May 2020,Tier 4
190,Ellie,https://vignette.wikia.nocookie.net/animalcrossing/images/8/8d/Ellie_HD.png/revision/latest/scale-to-width-down/350?cb=20180518162536,Female,Normal,Elephant,May 12th (Taurus),Taurus,"""li'l one""",Red Grid Tee,Unknown,Calculating Tips,Dentist,"Mocha,The regular amount of milk,2 spoonfuls of sugar",Unknown,Cafe K.K.,"AF, AF+, AC, AFe+, NL, NH",106,36,https://www.animalcrossingportal.com/images/villagers/icons/ellie.png,1st May 2020,Tier 4
316,Kidd,https://vignette.wikia.nocookie.net/animalcrossing/images/c/c5/Kidd_HHD.png/revision/latest?cb=20161213013210,Male,Smug,Goat,June 28th (Cancer),Cancer,"""wut""",Blue Aloha Shirt (AFe+)Waistcoat (NL),A photography studio,Blowing Bubbles,Hair Stylist,"Kilimanjaro,The regular amount of milk,Two spoonfuls of sugar",Official,Comrade K.K.,"AFe+, NL NL, PC, NH",107,37,https://www.animalcrossingportal.com/images/villagers/icons/kidd.png,1st May 2020,Tier 4
150,Papi,https://vignette.wikia.nocookie.net/animalcrossing/images/a/a8/Papi.png/revision/latest/scale-to-width-down/350?cb=20180312015617,Male,Lazy,Horse,January 10th (Capricorn),Capricorn,"""haaay""",Speedway Tee,A wood-inspired abode,Ventriloquism,Cartoonist,"Blue Mountain,  The regular amount of milk,  Two spoonfuls of sugar",Basic,Hypno K.K.,"NL, NH",108,38,https://www.animalcrossingportal.com/images/villagers/icons/papi.png,1st May 2020,Tier 4
299,Frita,https://vignette.wikia.nocookie.net/animalcrossing/images/d/d5/Frita_NH.png/revision/latest/scale-to-width-down/349?cb=20200321205518,Female,Sisterly,Sheep,July 16th (Cancer),Cancer,"""oh ewe""",Reggae Tee NLHot Dog Tee NH,A fast-food restaurant.,Chopping Vegetables,Chef,"Mocha,No milk,No sugar",Flashy,K.K. Rockabilly,"NL, HHD, NH",109,39,https://www.animalcrossingportal.com/images/villagers/icons/frita.png,1st May 2020,Tier 4
16,Bruce,https://vignette.wikia.nocookie.net/animalcrossing/images/4/45/Bruce_HD.png/revision/latest/scale-to-width-down/350?cb=20180518161455,Male,Cranky,Deer,May 26th (Gemini),Gemini,"""gruff""",After-School Jacket,A mah-jongg parlor,Memorizing Stuff,Pro Golfer,"Blue Mountain,None at all,None at all",Rock 'N' Roll,K.K. Blues,"NL, HHD, PC, NH",110,40,https://www.animalcrossingportal.com/images/villagers/icons/bruce.png,1st May 2020,Tier 4
110,Alfonso,https://vignette.wikia.nocookie.net/animalcrossing/images/d/d8/Alfonso_NewHorizons.png/revision/latest?cb=20200408175408,Male,Lazy,Alligator,June 9th (Gemini),Gemini,"""it'sa me""",Big Bro's Tee (AF-PC) Simple Parka  (New Horizons) ,A starry-sky cake dream,Fishing,Cartoonist,"Mocha,The regular amount of milk,Two spoonfuls of sugar",Basic,Forest Life,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",111,1,https://www.animalcrossingportal.com/images/villagers/icons/alfonso.png,1st May 2020,Tier 5
177,Ava,https://vignette.wikia.nocookie.net/animalcrossing/images/b/bc/Ava_NewLeaf_Official.png/revision/latest/scale-to-width-down/350?cb=20130721171323,Female,Normal,Chicken,April 28th (Taurus),Taurus,"""beaker""",Checkerboard Tee,A professional kitchen,Peeling Apples,Pastry Chef,"Blue Mountain,The regular amount of milk,Two spoonfuls of sugar",Official,K.K. Country,"AF, AF+, AC, AFe+, NL, HHD, PC, NH",112,2,https://www.animalcrossingportal.com/images/villagers/icons/ava.png,1st May 2020,Tier 5
204,Alice,https://vignette.wikia.nocookie.net/animalcrossing/images/e/e7/Alice_NewHorizons.png/revision/latest/scale-to-width-down/350?cb=20200412225706,Female,Normal,Koala,August 19th (Leo),Leo,"""guvnor""",Barber Tee,A mix of antique pieces,Photography,Stylist,"Mocha,None milk,No sugar",Cute,Surfin' K.K.,"AFe+, WW, CF, HHD, PC, NH",113,3,https://www.animalcrossingportal.com/images/villagers/icons/alice.png,1st May 2020,Tier 5
296,Agnes,https://vignette.wikia.nocookie.net/animalcrossing/images/4/42/Agnes_NH.png/revision/latest/scale-to-width-down/267?cb=20200321211513,Female,Sisterly,Pig,April 21st (Taurus),Taurus,"""snuffle""",Dazed Tee,An art museum,Cramming For Tests,Pro Golfer,"Kilimanjaro,Lots of milk,Three spoonfuls of sugar",Rock 'N' Roll,K.K. House,"NL, HHD, PC, NH",114,4,https://www.animalcrossingportal.com/images/villagers/icons/agnes.png,1st May 2020,Tier 5
355,Amelia,https://vignette.wikia.nocookie.net/animalcrossing/images/a/ab/Amelia_NH.png/revision/latest/scale-to-width-down/350?cb=20200506031552,Female,Snooty,Eagle,November 19th (Scorpio),Scorpio,"""cuz""",Spiderweb TeeAran-knit sweater (NH),"An elegant, lofty space",Playing Poker,Lawyer,"Blue Mountain,Lots of milk,Three spoonfuls of sugar",Ornate,K.K. Condor,"AF, AF+, AC, AFe+, WW, CF, NL, NH",115,5,https://www.animalcrossingportal.com/images/villagers/icons/amelia.png,1st May 2020,Tier 5
56,Antonio,https://vignette.wikia.nocookie.net/animalcrossing/images/e/e5/Antonio_NewLeaf_Official.png/revision/latest/scale-to-width-down/350?cb=20130818040026,Male,Jock,Anteater,October 20th (Libra),Libra,"""honk""",Big-Star TeeBone tee (NH),A place decorated simply,Playing Horseshoes,Baseball Player,"Kilimanjaro,Just a little bit of milk,One spoonful of sugar",Basic,K.K. Faire,"AFe+, WW, CF, NL, HHD, PC, NH",116,6,https://www.animalcrossingportal.com/images/villagers/icons/antonio.png,1st May 2020,Tier 5
229,Anabelle,https://vignette.wikia.nocookie.net/animalcrossing/images/d/df/Anabelle_NewHorizons.png/revision/latest?cb=20200417190821,Female,Peppy,Anteater,February 16th (Aquarius),Aquarius,"""snorty""",Tropical Tee,A cosmopolitan yard,Jumping Rope,Judge,"Kilimanjaro,Just a little bit of milk,One spoonful of sugar",Cute,Aloha K.K.,"WW, CF, NL, HHD, PC, NH",117,6,https://www.animalcrossingportal.com/images/villagers/icons/anabelle.png,1st May 2020,Tier 5
8,Angus,https://vignette.wikia.nocookie.net/animalcrossing/images/d/d6/AngusNH.png/revision/latest?cb=20200504213452,Male,Cranky,Bull,April 30th (Taurus),Taurus,"""macmoo""",Flame Tee,A salty seaside shack,Doing Handstands,Forest Ranger,"Kilimanjaro,No milk,No sugar",Rock 'N' Roll,Señor K.K.,"AFe+, WW, CF, NL, HHD, PC, NH",118,7,https://www.animalcrossingportal.com/images/villagers/icons/angus.png,1st May 2020,Tier 5
171,Annalisa,https://vignette.wikia.nocookie.net/animalcrossing/images/6/6a/CTRP_EAA_NPC-ant08_1_R_ad.png/revision/latest/scale-to-width-down/350?cb=20180312015133,Female,Normal,Anteater,February 6th (Aquarius),Aquarius,"""gumdrop""",Dazed Tee,A zen restaurant,Waking Up Early,Astronaut,"Mocha,The regular amount of milk,Two spoonfuls of sugar",Iconic,King K.K.,"NL, NH",119,8,https://www.animalcrossingportal.com/images/villagers/icons/annalisa.png,1st May 2020,Tier 5
363,Annalise,https://vignette.wikia.nocookie.net/animalcrossing/images/6/61/Annalise_NewLeaf_Official.png/revision/latest/scale-to-width-down/340?cb=20160930050833,Female,Snooty,Horse,December 2nd (Sagittarius),Sagittarius,"""nipper""","Red Aloha Shirt (GCN), Tropical Tee  (NL) ",A stained-glass tearoom,Brainteasers,Chef,"Blend,Lots of milk,Three spoonfuls of sugar",Official,K.K. Sonata,"AF+, AC, AFe+, NL, HHD, NH",120,9,https://www.animalcrossingportal.com/images/villagers/icons/annalise.png,1st May 2020,Tier 5
213,Aurora,https://vignette.wikia.nocookie.net/animalcrossing/images/9/9c/NH-Aurora-Render.png/revision/latest/scale-to-width-down/350?cb=20200202215217,Female,Normal,Penguin,January 27th (Aquarius),Aquarius,"""b-b-baby""","Classic Top (AC)  Pink Tartan Tee (WW, CF, NL, PC)",A flower shop,Making Budgets,Doctor,"Kilimanjaro,The regular amount of milk,Two spoonfuls of sugar",Official,K.K. Gumbo,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",121,10,https://www.animalcrossingportal.com/images/villagers/icons/aurora.png,1st May 2020,Tier 5
19,Avery,https://vignette.wikia.nocookie.net/animalcrossing/images/d/dd/Avery_NH.png/revision/latest/scale-to-width-down/350?cb=20200227000314,Male,Cranky,Eagle,February 22nd (Pisces),Pisces,"""skree-haw""",Uncommon Shirt,A room full of fossils,Skimming Books,Professor,"Kilimanjaro,Just a little bit of milk,One spoonful of sugar",Iconic,K.K. Condor,"AFe+, CF, NL, HHD, PC, NH",122,11,https://www.animalcrossingportal.com/images/villagers/icons/avery.png,1st May 2020,Tier 5
75,Axel,https://vignette.wikia.nocookie.net/animalcrossing/images/6/68/Axel_NewLeaf_Official.png/revision/latest/scale-to-width-down/343?cb=20130818040134,Male,Jock,Elephant,March 23rd (Aries),Aries,"""WHONK""",Fresh Tee,A dentist's office,Competitive Eating,Basketball Player,"Kilimanjaro,Just a little bit of milk,One spoonful of sugar",Sporty,K.K. Dixie,"AF, AF+, AC, AFe+, CF, NL, NH",123,12,https://www.animalcrossingportal.com/images/villagers/icons/axel.png,1st May 2020,Tier 5
379,Baabara,https://vignette.wikia.nocookie.net/animalcrossing/images/2/2a/Baabara_NH_render.png/revision/latest/scale-to-width-down/350?cb=20200321204640,Female,Snooty,Sheep,March 28th (Aries),Aries,"""daahling""",Purple Tie-Dye Tee,A ballet studio.,Drawing Circles,Esthetician,"Mocha,No milk,No sugar",Ornate,K.K. Swing,"AF, AF+, AC, AFe+, WW, CF, NL, NH",124,13,https://www.animalcrossingportal.com/images/villagers/icons/baabara.png,1st May 2020,Tier 5
303,Beardo,https://vignette.wikia.nocookie.net/animalcrossing/images/f/f9/Beardo_HHD.png/revision/latest?cb=20160624003458,Male,Smug,Bear,September 27th (Libra),Libra,"""whiskers""",Detective Outfit,A cultivated garden,Memorizing Stuff,Professor,"Blue Mountain,Just a little bit of milk, One spoonful of sugar",Official,K.K. Sonata,"NL, NH",125,14,https://www.animalcrossingportal.com/images/villagers/icons/beardo.png,1st May 2020,Tier 5
256,Bella,https://vignette.wikia.nocookie.net/animalcrossing/images/e/e4/Bella_NewLeaf_Official.png/revision/latest/scale-to-width-down/324?cb=20130721172434,Female,Peppy,Mouse,December 28th (Capricorn),Capricorn,"""eeks""",Skull Tee,A place to practice singing,Staying Up Late,Singer,"Mocha,No milk,No sugar",Rock 'N' Roll,K.K. Metal,"AFe+, WW, CF, NL, NH",126,15,https://www.animalcrossingportal.com/images/villagers/icons/bella.png,1st May 2020,Tier 5
128,Benjamin,https://vignette.wikia.nocookie.net/animalcrossing/images/7/7f/Benjamin_HD.png/revision/latest/scale-to-width-down/350?cb=20180518161900,Male,Lazy,Dog,August 3rd (Leo),Leo,"""alrighty""",Subdued-Print Tee,A life of self-sufficiency,Brainteasers,Archaeologist,"Kilimanjaro,Just a little bit of milk,One spoonful of sugar",Historical,Wandering,"NL, NH",127,16,https://www.animalcrossingportal.com/images/villagers/icons/benjamin.png,1st May 2020,Tier 5
129,Biskit,https://vignette.wikia.nocookie.net/animalcrossing/images/d/df/Biskit_NewLeaf_Official.png/revision/latest/scale-to-width-down/309?cb=20130721174109,Male,Lazy,Dog,May 13th (Taurus),Taurus,"""dog""",Mod Top (AC)  Deep-Blue Tee(NL)Meme Shirt(NH),An eggstravaganza,Hitting Snooze,Architect,"Mocha,The regular amount of milk,Two spoonfuls of sugar",Basic,K.K. Mambo,"AF, AF+, AC, AFe+, WW, CF, NL, NH",128,17,https://www.animalcrossingportal.com/images/villagers/icons/biskit.png,1st May 2020,Tier 5
383,Blaire,https://vignette.wikia.nocookie.net/animalcrossing/images/c/c8/Blair_NH.png/revision/latest?cb=20200309020636,Female,Snooty,Squirrel,July 3rd (Cancer),Cancer,"""nutlet""",Peachy Tee,A classy hotel,Calligraphy,Doctor,"Blend, No milk, No sugar.",Official,K.K. Island,"AF, AF+, AC, AFe+, WW, CF, NL, NH",129,18,https://www.animalcrossingportal.com/images/villagers/icons/blaire.png,1st May 2020,Tier 5
263,Bonbon,https://vignette.wikia.nocookie.net/animalcrossing/images/c/cc/Bonbon_NH.png/revision/latest/scale-to-width-down/245?cb=20200321103645,Female,Peppy,Rabbit,March 3rd (Pisces),Pisces,"""deelish""",Chocomint Tee,"The ""it"" house",Competitive Eating,Swimmer,"Mocha,The regular amount of milk, 2 spoonfuls of sugar",Cute,K.K. Disco,"NL, HHD, NH",130,19,https://www.animalcrossingportal.com/images/villagers/icons/bonbon.png,1st May 2020,Tier 5
130,Bones,https://vignette.wikia.nocookie.net/animalcrossing/images/7/70/Bones_NewLeaf_Official.png/revision/latest/scale-to-width-down/309?cb=20130721174243,Male,Lazy,Dog,August 4th (Leo),Leo,"""yip yip""",Caveman Tank,A second childhood,Telling Jokes,Explorer,"Mocha,The regular amount of milk,Two spoonfuls of sugar",Historical,Forest Life,"AF, AF+, AC, AFe+, WW, CF, NL, NH",131,20,https://www.animalcrossingportal.com/images/villagers/icons/bones.png,1st May 2020,Tier 5
158,Boomer,https://vignette.wikia.nocookie.net/animalcrossing/images/b/b4/Boomer_NewLeaf_Official.png/revision/latest/scale-to-width-down/350?cb=20130721174546,Male,Lazy,Penguin,February 7th (Aquarius),Aquarius,"""human""","Blue Aloha Shirt (AF+, AC, AFe+)Explorer Tee (CF, NL)",A captain's cockpit,Oversleeping,Pilot,"Blend,A little bit of milk,One spoonful of sugar",Historical,Aloha K.K.,"AF+, AC, AFe+, CF, NL, HHD, NH",132,21,https://www.animalcrossingportal.com/images/villagers/icons/boomer.png,1st May 2020,Tier 5
54,Boots,https://vignette.wikia.nocookie.net/animalcrossing/images/7/7c/Boots_HD.png/revision/latest/scale-to-width-down/350?cb=20180518155728,Male,Jock,Alligator,August 7th (Leo),Leo,"""munchie""",Jester Shirt,Unknown,Writing Backwards,Sumo Wrestler,"Blue Mountain,Lots of milk,3 spoonfuls of sugar",Unknown,K.K. Rally,"AF, AF+, AC, AFe+, NL, PC, NH",133,22,https://www.animalcrossingportal.com/images/villagers/icons/boots.png,1st May 2020,Tier 5
369,Bree,https://vignette.wikia.nocookie.net/animalcrossing/images/c/c8/BreeNL.png/revision/latest?cb=20190107181759,Female,Snooty,Mouse,July 7th (Cancer),Cancer,"""cheeseball""",Floral Knit Tee,A tidied-up home,Doodling,Dermatologist,"Blend,The regular amount of milk,Two spoonfuls of sugar",Official,Two Days Ago,"AFe+, WW, CF, HHD, PC, NH",134,23,https://www.animalcrossingportal.com/images/villagers/icons/bree.png,1st May 2020,Tier 5
17,Butch,https://vignette.wikia.nocookie.net/animalcrossing/images/d/d2/Butch_-_Animal_Crossing_New_Leaf.png/revision/latest/scale-to-width-down/300?cb=20130708032928,Male,Cranky,Dog,November 1st (Scorpio),Scorpio,"""ROOOOOWF""","Houndstooth Knit (AC)  Arctic-Camo Tee (WW, CF, NL, PC)",A cool dog park,Air Guitar,Race Car Driver,"Blend,No milk,No sugar",Sporty,K.K. Fusion,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",135,24,https://www.animalcrossingportal.com/images/villagers/icons/butch.png,1st May 2020,Tier 5
89,Bud,https://vignette.wikia.nocookie.net/animalcrossing/images/6/60/Bud_NewLeaf_Official.png/revision/latest/scale-to-width-down/297?cb=20130818185106,Male,Jock,Lion,August 8th (Leo),Leo,"""shredded""","Blue Aloha Shirt (AC)Flowery Shirt (WW, CF)Yellow Aloha Tee (NL, PC)Pineapple Aloha Shirt (NH)",A beach,Rapping,Singer,"Blue Mountain,No milk,No sugar",Sporty,K.K. Ska,"AF+, AC, AFe+, WW, CF, HHD, PC, NH",136,25,https://www.animalcrossingportal.com/images/villagers/icons/bud.png,1st May 2020,Tier 5
223,Cally,https://vignette.wikia.nocookie.net/animalcrossing/images/a/a6/Cally_NH.png/revision/latest/scale-to-width-down/350?cb=20200309020719,Female,Normal,Squirrel,September 4th (Virgo),Virgo,"""WHEE""",Ladybug Tank,A nice place to do laundry.,Whistling,Lawyer,"Kilimanjaro,A little bit of milk,One spoonful of sugar",Official,K.K. Love Song,"NL, NH",137,26,https://www.animalcrossingportal.com/images/villagers/icons/cally.png,1st May 2020,Tier 5
23,Camofrog,https://vignette.wikia.nocookie.net/animalcrossing/images/0/0b/Camofrog_NewLeaf_Official.png/revision/latest?cb=20130721180123,Male,Cranky,Frog,June 5th (Gemini),Gemini,"""ten-hut""",MVP Tee,A nature sanctuary,Playing Jacks,Pilot,"Blue Mountain,The regular amount of milk,Two spoonfuls of sugar",Rock 'N' Roll,K.K. Rock,"AF, AF+, AC, AFe+, WW, CF, NL, NH",138,27,https://www.animalcrossingportal.com/images/villagers/icons/camofrog.png,1st May 2020,Tier 5
292,Canberra,https://vignette.wikia.nocookie.net/animalcrossing/images/4/46/Canberra_HHD.png/revision/latest?cb=20160624002709,Female,Sisterly,Koala,May 14th (Taurus),Taurus,"""nuh uh""",Green-Stripe Tank,An international restaurant,Making Faces,Tennis Player,"Kilimanjaro,Lots of milk,Three spoonfuls of sugar",Sporty,K.K. House,"NL, NH",139,28,https://www.animalcrossingportal.com/images/villagers/icons/canberra.png,1st May 2020,Tier 5
224,Caroline,https://vignette.wikia.nocookie.net/animalcrossing/images/2/26/Caroline_NH.png/revision/latest?cb=20200309023642,Female,Normal,Squirrel,July 15th (Cancer),Cancer,"""hulaaaa""",Gelato Tee,A rustic ranch house,Yo-Yoing,Volleyball Player,"Kilamanjaro,A little bit of milk,One spoonful of sugar",Cute,Dj K.K.,"WW, CF, NL, NH",140,29,https://www.animalcrossingportal.com/images/villagers/icons/caroline.png,1st May 2020,Tier 5
278,Charlise,https://vignette.wikia.nocookie.net/animalcrossing/images/3/34/Charlise_HHD.png/revision/latest?cb=20160624003805,Female,Sisterly,Bear,April 17th (Aries),Aries,"""urgh""","Red Aloha Shirt (AFe+)Red Warmup Suit (NL, PC and NH)",A flower showcase.,Hitting Snooze,Archaeologist,"Kilimanjaro,Lots of milk,Three spoonfuls of sugar",Sporty,Mr. K.K.,"AFe+, NL, PC, NH",141,30,https://www.animalcrossingportal.com/images/villagers/icons/charlise.png,1st May 2020,Tier 5
123,Chester,https://vignette.wikia.nocookie.net/animalcrossing/images/5/5a/Chester_-_Animal_Crossing_New_Leaf.png/revision/latest/scale-to-width-down/293?cb=20130708001600,Male,Lazy,Cub,August 6th (Leo),Leo,"""rookie""",Yellow-Bar Tee,Unknown,Trivia,Teacher,"Blend,Just a little bit of milk,One spoonful of sugar",Basic,Imperial K.K.,"CF, NL, NH",142,31,https://www.animalcrossingportal.com/images/villagers/icons/chester.png,1st May 2020,Tier 5
147,Clay,https://vignette.wikia.nocookie.net/animalcrossing/images/4/47/Clay_HD.png/revision/latest/scale-to-width-down/350?cb=20180405153835,Male,Lazy,Hamster,October 19th (Libra),Libra,"""thump""",Uncommon Shirt,A spooky haunted house,Writing Backwards,Archaeologist,"Mocha,None at all,None at all",Historical,K.K. Safari,"NL, NH",143,32,https://www.animalcrossingportal.com/images/villagers/icons/clay.png,1st May 2020,Tier 5
165,Cole,https://vignette.wikia.nocookie.net/animalcrossing/images/f/f6/Cole_NH.png/revision/latest/scale-to-width-down/251?cb=20200322122206,Male,Lazy,Rabbit,August 10th (Leo),Leo,"""duuude""",Citrus Tee (AC-NL) Citrus Tank(NH),A tropical resort,Drawing Circles,Painter,"Blend,No milk,No sugar",Modern,Spring Blossoms,"NL, HHD, NH",144,33,https://www.animalcrossingportal.com/images/villagers/icons/cole.png,1st May 2020,Tier 5
76,Cousteau,https://vignette.wikia.nocookie.net/animalcrossing/images/1/16/Cousteau_NewLeaf_Official.png/revision/latest?cb=20130721181726,Male,Jock,Frog,December 17th (Sagittarius),Sagittarius,"""oui oui""",Rally Tee,A restaurant for exotic food,Telling Jokes,Ceo,"Blue mountain,The regular amount of milk,Two spoonfuls of sugar",Iconic,Imperial K.K.,"AF, AF+, AC, AFe+, CF, NL, NH",145,34,https://www.animalcrossingportal.com/images/villagers/icons/cousteau.png,1st May 2020,Tier 5
157,Cranston,https://vignette.wikia.nocookie.net/animalcrossing/images/2/20/Cranston_NH_2.png/revision/latest/scale-to-width-down/259?cb=20200505230114,Male,Lazy,Ostrich,September 23rd (Libra),Libra,"""sweatband""",Lotus Tee,A place to grow rice,Backflipping,Ceo,"Blend,None at all,None at all",Modern,Steep Hill,"NL, HHD, NH",146,35,https://www.animalcrossingportal.com/images/villagers/icons/cranston.png,1st May 2020,Tier 5
159,Cube,https://vignette.wikia.nocookie.net/animalcrossing/images/1/10/Cube_NH.png/revision/latest?cb=20200226233057,Male,Lazy,Penguin,January 29th (Aquarius),Aquarius,"""brainfreeze""","N64 Logo Shirt (AF) GC logo Shirt (AC)Big-Dot Tee (WW, CF, NL, PC, NH)",An eco-friendly factory,Staying Awake,Astronaut,"Blend,A little bit of milk,One spoonful of sugar",Cute,K.K. Technopop,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",147,36,https://www.animalcrossingportal.com/images/villagers/icons/cube.png,1st May 2020,Tier 5
332,Curlos,https://vignette.wikia.nocookie.net/animalcrossing/images/3/37/Curlos_NH.png/revision/latest?cb=20200317165801,Male,Smug,Sheep,May 8th (Taurus),Taurus,"""shearly""",Blue Aloha Shirt (AFe+)Reggae Tee (NL)Zigzag Shirt(NH),A Toy Day celebration,Calculating Tips,Actor,"Kilamanjaro,Lots of milk,Three spoonfuls of sugar",Rock 'N' Roll,K.K. Samba,"AFe+, NL, NH",148,37,https://www.animalcrossingportal.com/images/villagers/icons/curlos.png,1st May 2020,Tier 5
185,Daisy,https://vignette.wikia.nocookie.net/animalcrossing/images/3/36/Daisy_NewLeaf_Official.png/revision/latest/scale-to-width-down/300?cb=20130721182429,Female,Normal,Dog,November 16th (Scorpio),Scorpio,"""bow-WOW""",Kiddie Tee,A magnet for Santa,Making Budgets,Archaeologist,"Blue Mountain,Lots of milk,Three spoonfuls of sugar",Basic,K.K. Soul,"AF, AF+, AC, AFe+, WW, CF, NL, PC, NH",149,38,https://www.animalcrossingportal.com/images/villagers/icons/daisy.png,1st May 2020,Tier 5
0,Del,https://vignette.wikia.nocookie.net/animalcrossing/images/7/7f/Del_NewLeaf_Official.png/revision/latest/scale-to-width-down/300?cb=20130721182619,Male,Cranky,Alligator,May 27th (Gemini),Gemini,"""gronk""","Wave Shirt (Animal Forest e+)Blue-Stripe Tee (City Folk, New Leaf, New Horizons)",A shrine of seafaring,Subsistence Living,Firefighter,"Blend,None at all,None at all",Sporty,K.K. March,"AFe+, CF, NL, NH",150,39,https://www.animalcrossingportal.com/images/villagers/icons/del.png,1st May 2020,Tier 5
153,Deli,https://vignette.wikia.nocookie.net/animalcrossing/images/a/a1/Deli_HD.png/revision/latest/scale-to-width-down/350?cb=20180518164618,Male,Lazy,Monkey,May 24th (Gemini),Gemini,"""monch""",Blue Diamond Tee,A room scented by curry,Jumping Rope,Musician,"Blue Mountain, Lots of milk, Three spoonfuls of sugar",Iconic,K.K. Marathon,"NL, NH",151,40,https://www.animalcrossingportal.com/images/villagers/icons/deli.png,1st May 2020,Tier 5
287,Diva,https://vignette.wikia.nocookie.net/animalcrossing/images/9/9e/Diva_HD.png/revision/latest/scale-to-width-down/350?cb=20180609194821,Female,Sisterly,Frog,October 2nd (Libra),Libra,"""ya know""","Amethyst Tee(NL, HHD)Amethyst Tank(PC)Palatial Tank Dress(NH)",A place with good vibes,Home Repair,Hair Stylist,"Kilimanjaro,None at all,None at all",Ornate,K.K.  Bazaar,"NL, HHD, PC, NH",152,41,https://www.animalcrossingportal.com/images/villagers/icons/diva.png,1st May 2020,Tier 5
