,Name,Image,Gender,Personality,Species,Birthday,Horoscope,Initial_Phrase,Initial Clothes,Home_Request,Skill,Goal,Coffee,Style,Favorite_Song,Appearances
344,Stinky,https://vignette.wikia.nocookie.net/animalcrossing/images/4/43/Stinky-1-.png/revision/latest?cb=20200417130345,Male,Jock,Cat,August 17th (Leo),(Leo),"""GAHHHH""",Splendid Tee,A pro-wrestling ring,Chugging Milk,Rugby Player,"Blue Mountain, The regular amount of milk,Two spoonfuls of sugar",Sporty,Go K.K. Rider!,"AF, AF+, AC, AFe+, CF, NL, NH"
158,Goose,https://vignette.wikia.nocookie.net/animalcrossing/images/9/99/-Goose_-_Animal_Crossing_New_Leaf.png/revision/latest/scale-to-width-down/292?cb=20130708020630,Male,Jock,Chicken,October 4th (Libra),(Libra),"""buh-kay""",Tropical Tee,A room for waking up early,Waking up early,Soccer player,"Blend,Lots of milk,Three spoonfuls of sugar",Basic,K.K. Country,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH"
203,Kody,https://vignette.wikia.nocookie.net/animalcrossing/images/4/4d/Kody_NewLeaf_Official.png/revision/latest/scale-to-width-down/313?cb=20130721212358,Male,Jock,Cub,September 28th (Libra),(Libra),"""grah-grah""","Far-Out Shirt  (AC)Orange Check Shirt  (WW, CF) Racer Tee  (NL)",A blue training space,Eating frequently,Baseball player,"Mocha,Lots of milk,Three spoonfuls of sugar",Sporty,K.K. Country,"AF, AF+, AC, AFe+, WW, CF, NL, NH"
285,Poncho,https://vignette.wikia.nocookie.net/animalcrossing/images/4/4c/Poncho_NewLeaf_Official.png/revision/latest/scale-to-width-down/275?cb=20130721204234,Male,Jock,Cub,January 2nd (Capricorn),(Capricorn),"""li'l bear""",Blue-Grid Tee,A wild west space,Making puns,Astronaut,"Mocha, Lots of milk, Three spoonfuls of sugar",Basic,K.K. Condor,"AF, AF+, AC, AFe+, WW, CF, NL, NH"
25,Bam,https://vignette.wikia.nocookie.net/animalcrossing/images/b/ba/Bam_NewLeaf_Official.png/revision/latest/scale-to-width-down/350?cb=20140210200209,Male,Jock,Deer,November 7th (Scorpio),(Scorpio),"""kablang""",Green Warm-Up Jacket,A field-trip atmosphere,Back flipping,Soccer Player,"Blend,Just a little bit of milk,One spoonful of sugar",Sporty,DJ K.K.,"NL, HHD, PC, NH"
218,Mac,https://vignette.wikia.nocookie.net/animalcrossing/images/1/1c/Mac_NewLeaf_Official.png/revision/latest/scale-to-width-down/333?cb=20130818041235,Male,Jock,Dog,November 11th (Scorpio),(Scorpio),"""woo woof""",Red Aloha Tee,A summer campsite,Doing chin-ups,Boxer,"Blend,None at all,None at all",Sporty,My Place,"CF, NL, NH"
40,Bill,https://vignette.wikia.nocookie.net/animalcrossing/images/5/53/Bill_NewLeaf_Official.png/revision/latest/scale-to-width-down/316?cb=20130721173919,Male,Jock,Duck,February 1st (Aquarius),(Aquarius),"""quacko""",No. 2 Shirt,A summer house,Bunting,Race car driver,"Kilimanjaro,Just a little bit of milk,One spoonful of sugar",Sporty,King K.K.,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH"
325,Scoot,https://vignette.wikia.nocookie.net/animalcrossing/images/f/f7/Scoot_NewLeaf_Official.png/revision/latest?cb=20130721211852,Male,Jock,Duck,June 13th (Gemini),(Gemini),"""zip zoom""",Frog Tee,A house with a pool,Climbing trees,Rugby player,"Mocha,The regular amount of milk,Two spoonfuls of sugar",Sporty,Marine Song 2001,"AF, AF+, AC, AFe+ CF, NL, NH"
278,Pierce,https://vignette.wikia.nocookie.net/animalcrossing/images/8/80/Pierce_NH.png/revision/latest/scale-to-width-down/350?cb=20200227200120,Male,Jock,Eagle,January 8th (Capricorn),(Capricorn),"""hawkeye""",Circus ShirtCamel Shirt (NL),A classy training room,Playing catch,Rugby player,"Kilimanjaro,Just a little bit of milk,One spoonful of sugar",Sporty,K.K. Étude,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH"
343,Sterling,https://vignette.wikia.nocookie.net/animalcrossing/images/4/4f/Sterling_NH.png/revision/latest/scale-to-width-down/350?cb=20200226235239,Male,Jock,Eagle,December 11th (Sagittarius),(Sagittarius),"""skraaaaw""",Scale-Armor Suit,An outer-space space,Doing push-ups,Police officer,"Kilimanjaro,Just a little bit of milk,One spoonful of sugar",Historical,Lucky K.K.,"CF, NL, NH"
23,Axel,https://vignette.wikia.nocookie.net/animalcrossing/images/6/68/Axel_NewLeaf_Official.png/revision/latest/scale-to-width-down/343?cb=20130818040134,Male,Jock,Elephant,March 23rd (Aries),(Aries),"""WHONK""",Fresh Tee,A dentist's office,Competitive eating,Basketball Player,"Kilimanjaro,Just a little bit of milk,One spoonful of sugar",Sporty,K.K. Dixie,"AF, AF+, AC, AFe+, CF, NL, NH"
96,Cousteau,https://vignette.wikia.nocookie.net/animalcrossing/images/1/16/Cousteau_NewLeaf_Official.png/revision/latest?cb=20130721181726,Male,Jock,Frog,December 17th (Sagittarius),(Sagittarius),"""oui oui""",Rally Tee,A restaurant for exotic food,Telling jokes,CEO,"Blue mountain,The regular amount of milk,Two spoonfuls of sugar",Iconic,Imperial K.K.,"AF, AF+, AC, AFe+, CF, NL, NH"
121,Drift,https://vignette.wikia.nocookie.net/animalcrossing/images/2/28/Drift_NewLeaf_Official.png/revision/latest?cb=20130721183255,Male,Jock,Frog,October 9th (Libra),(Libra),"""brah""","Blue Aloha Shirt (AC)No. 67 Shirt (WW, CF, NL, PC)",A hospital lobby,Shadow puppetry,Tycoon,"Blue Mountain,The regular amount of milk,Two spoonfuls of sugar",Flashy,K.K. Country,"AF+, AC, AFe+, WW, CF, NL, NH"
146,Frobert,https://vignette.wikia.nocookie.net/animalcrossing/images/f/fb/Frobert_NewLeaf_Official.png/revision/latest?cb=20130721190427,Male,Jock,Frog,February 8th (Aquarius),(Aquarius),"""fribbit""",Gracie Tank,A shrine to all things Gracie,Eating quickly,Artist,"Blue Mountain,The regular amount of milk,Two spoonfuls of sugar",Sporty,My Place,"AFe+, WW, CF, NL, NH"
303,Ribbot,https://vignette.wikia.nocookie.net/animalcrossing/images/e/ef/Ribbot_NewLeaf_Official.png/revision/latest?cb=20130818042038,Male,Jock,Frog,February 13th (Aquarius),(Aquarius),"""zzrrbbitt""","Pulse Shirt Lightning Tee (NL, PC)",A robohouse,Ventriloquism,Astronaut,"Blue Mountain,The regular amount of milk,Two spoonfuls of sugar",Flashy,Go K.K. Rider!,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH"
351,Tad,https://vignette.wikia.nocookie.net/animalcrossing/images/d/d9/Tad_HD.png/revision/latest/scale-to-width-down/350?cb=20180518162800,Male,Jock,Frog,August 3rd (Leo),(Leo),"""sluuuurp""",One-Ball Tee,Unknown,Telling jokes,CEO,"Mocha,A little bit of milk,1 spoonful of sugar",Unknown,Wandering,"AF, AF+, AC, AFe+, NL, NH"
41,Billy,https://vignette.wikia.nocookie.net/animalcrossing/images/c/cb/Billy_HD.png/revision/latest/scale-to-width-down/350?cb=20180518163200,Male,Jock,Goat,March 25th (Aries),(Aries),"""dagnaabit""",Sharp Outfit,Unknown,Subsistence living,Archaeologist,"Blue Mountain,No milk,No sugar",Unknown,K.K. Sonata,"AF, AF+, AC, AFe+, NL, NH"
51,Boone,https://vignette.wikia.nocookie.net/animalcrossing/images/3/32/Boone_NewHorizons.png/revision/latest/scale-to-width-down/350?cb=20200408115254,Male,Jock,Gorilla,September 12th (Virgo),(Virgo),"""baboom""",Comfy Sweater,A desert paradise,Dancing,Rugby player,"Blend,Just a little bit of milk,One spoonful of sugar",Iconic,K.K. Western,"WW, CF, NL, HHD, PC, NH"
213,Louie,https://vignette.wikia.nocookie.net/animalcrossing/images/e/e1/Louie_HD.png/revision/latest/scale-to-width-down/350?cb=20180410104451,Male,Jock,Gorilla,March 26th (Aries),(Aries),"""hoo hoo ha""","Lil Bro's shirt (AF, AFe+)  Big Bro's Tee (HHD, NL) Muscle Tee (NH)",A 30th-anniversary party!,Doing handstands,Rugby player,"Blue Mountain,No milk,No sugar",Sporty,Unknown,"AF, AF+, AC, AFe+, HHD (Discontinued DLC), NL, NH"
165,Hamlet,https://vignette.wikia.nocookie.net/animalcrossing/images/3/35/Nhhamlet.png/revision/latest?cb=20200223062646,Male,Jock,Hamster,May 30th (Gemini),(Gemini),"""hammie""",Big-Star Tee,A soccer arena,Limboing,Soccer player,"Blend,  The regular amount of milk,   Two spoonfuls of sugar",Basic,K.K. Reggae,"NL, HHD, PC, NH"
38,Biff,https://vignette.wikia.nocookie.net/animalcrossing/images/7/7f/Biff_NewLeaf_Official.png/revision/latest/scale-to-width-down/350?cb=20130721173751,Male,Jock,Hippo,March 29th (Aries),(Aries),"""squirt""",Jagged Tee,A sci-fi space,Limboing,Basketball Player,"Mocha,No milk,No sugar",Flashy,The K. Funk,"AF, AF+, AC, AFe+, NL, NH"
168,Harry,https://vignette.wikia.nocookie.net/animalcrossing/images/3/36/Harry_NewLeaf_Official.png/revision/latest/scale-to-width-down/350?cb=20130721191825,Male,Jock,Hippo,January 7th (Capricorn),(Capricorn),"""beach bum""","Blue Aloha Shirt (AFe+) Jungle-Camo Tee (CF, NL)Camo Tee (NH)",A slop-tastic pad,Tongue twisters,Fisherman,"Mocha,None at all,None at all",Historical,K.K. Calypso,"AFe+, CF, NL, NH"
60,Buck,https://vignette.wikia.nocookie.net/animalcrossing/images/f/f0/-Buck_-_Animal_Crossing_New_Leaf.png/revision/latest?cb=20200415135129,Male,Jock,Horse,April 4th (Aries),(Aries),"""pardner""",Eight-Ball TeeGray Sweatshirt(NH),A locker room,Vaulting,Basketball player,"Mocha,Just a little bit of milk,One spoonful of sugar",Sporty,My Place,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH"
217,Lyman,https://vignette.wikia.nocookie.net/animalcrossing/images/a/a0/Lyman_HD.png/revision/latest/scale-to-width-down/350?cb=20180518164248,Male,Jock,Koala,October 12th (Libra),(Libra),"""chips""",Club Tee (NL)Vertical Stripe Shirt (NH),A veggie palace,Forgetting stuff,Astronaut,"Mocha, No milk, No sugar",Official,K.K. Island,"NL, NH"
61,Bud,https://vignette.wikia.nocookie.net/animalcrossing/images/6/60/Bud_NewLeaf_Official.png/revision/latest/scale-to-width-down/297?cb=20130818185106,Male,Jock,Lion,August 8th (Leo),(Leo),"""shredded""","Blue Aloha Shirt (AC)Flowery Shirt (WW, CF)Yellow Aloha Tee (NL, PC)Pineapple Aloha Shirt (NH)",A beach,Rapping,Singer,"Blue Mountain,No milk,No sugar",Sporty,K.K. Ska,"AF+, AC, AFe+, WW, CF, HHD, PC, NH"
244,Mott,https://vignette.wikia.nocookie.net/animalcrossing/images/3/38/Mott_NewLeaf_Official.png/revision/latest/scale-to-width-down/289?cb=20130721195620,Male,Jock,Lion,July 10th (Cancer),(Cancer),"""cagey""",Pirate's Coat (CF)Blue Letter Jacket (NL)College Cardigan (NH),Unknown,Mental math,Lawyer,"Blue Mountain,  None at all,  None at all",Iconic,Marine Song 2001,"CF, NL, NH"
315,Rory,https://vignette.wikia.nocookie.net/animalcrossing/images/e/eb/Rory.png/revision/latest/scale-to-width-down/289?cb=20200428051119,Male,Jock,Lion,August 7th (Leo),(Leo),"""capital""",Periwinkle Tee,Unknown,Tiptoeing,Firefighter,"Mocha,Lots of milk,Three spoonfuls of sugar",Iconic,K.K. Faire,"NL, NH"
136,Flip,https://vignette.wikia.nocookie.net/animalcrossing/images/6/66/Flip_HD.png/revision/latest/scale-to-width-down/350?cb=20181009152037,Male,Jock,Monkey,November 21st (Scorpio),(Scorpio),"""rerack""",Happi Tee,An ancient bathhouse,Climbing trees,Pro golfer,"Kilimanjaro,Just a little bit of milk, One spoonful of sugar",Sporty,K.K. Rally,"NL, PC, NH"
243,Moose,https://vignette.wikia.nocookie.net/animalcrossing/images/0/02/Moose_NewLeaf_Official.png/revision/latest?cb=20130721195504,Male,Jock,Mouse,September 13th (Virgo),(Virgo),"""shorty""",Big-Star Tee,A spot to play hoops,Telling jokes,Mayor,"Mocha,  No milk,  No sugar",Flashy,Agent K.K.,"CF, NL, NH"
310,Rod,https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/Famitsu-magazine-scans-animal-crossing-new-horizons-january-villager-renders-0.png/revision/latest?cb=20200329092630,Male,Jock,Mouse,August 14th (Leo),(Leo),"""ace""",Zipper Shirt,A pirate hideout,Sprinting,Explorer,"Mocha,  No milk,  No sugar",Rock 'n' roll,K.K. March,"AFe+, WW, CF, NL, NH"
322,Samson,https://vignette.wikia.nocookie.net/animalcrossing/images/c/ca/Samson_NewLeaf_Official.png/revision/latest?cb=20130721211721,Male,Jock,Mouse,July 5 (Cancer),(Cancer),"""pipsqueak""",Airy Tee,A room with treasure,Eating frequently,Photographer,"Mocha,  No milk,  No sugar",Modern,Go K.K. Rider!,"AF, AF+, AC, AFe+, WW, CF, NL, NH"
340,Sprocket,https://vignette.wikia.nocookie.net/animalcrossing/images/4/44/Sprocket_NH-0.png/revision/latest/scale-to-width-down/259?cb=20200505225416,Male,Jock,Ostrich,December 1st (Sagittarius),(Sagittarius),"""zort""",No. 67 Shirt,Unknown,Air guitar,Guitarist,"Mocha,The regular amount of milk,2 spoonfuls of sugar",Unknown,K.K. Metal,"AF, AF+, AC, AFe+, NL, NH"
177,Iggly,https://vignette.wikia.nocookie.net/animalcrossing/images/0/06/Iggly_NewLeaf_Official.png/revision/latest/scale-to-width-down/350?cb=20130721192205,Male,Jock,Penguin,November 2nd (Scorpio),(Scorpio),"""waddler""",Red-Bar Tee,A winter-sports paradise.,Bunting,Baseball player,"Mocha,  Lots of milk,  Three spoonfuls of sugar",Basic,K.K. March,"CF, NL, HHD, NH"
306,Roald,https://vignette.wikia.nocookie.net/animalcrossing/images/7/7e/ROALD_New_Horizons.png/revision/latest/scale-to-width-down/350?cb=20200224042135,Male,Jock,Penguin,January 5th (Capricorn),(Capricorn),"""b-b-buddy""",Café Tee (AF - PC)Red Flannel Shirt (NH),A room fit for a racer,Belly dancing,Pro golfer,"Mocha,Lots of milk,Three spoonfuls of sugar",Basic,K.K. Parade,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH"
91,Cobb,https://vignette.wikia.nocookie.net/animalcrossing/images/a/a4/Cobb_NewLeaf_Official.png/revision/latest/scale-to-width-down/262?cb=20130721181251,Male,Jock,Pig,October 7th (Libra),(Libra),"""hot dog""",Racer Tee,A secret research lab,Debating,Teacher,"Blue Mountain,A little bit of milk,One spoonful of sugar",Official,Pondering,"AF, AF+, AC, AFe+, NL, HHD, PC, NH"
101,Curly,https://vignette.wikia.nocookie.net/animalcrossing/images/9/9d/Curly.png/revision/latest?cb=20130521000319,Male,Jock,Pig,July 26th (Leo),(Leo),"""nyoink""",Green-Bar Tee,A game-development studio,Clearing my plate,Explorer,"Blue Mountain,A little bit of milk,One spoonful of sugar",Basic,K.K. Reggae,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, NH"
195,Kevin,https://vignette.wikia.nocookie.net/animalcrossing/images/7/71/Kevin_NH.png/revision/latest?cb=20200402024235,Male,Jock,Pig,April 26th (Taurus),(Taurus),"""weeweewee""",After-School Jacket,A spaceship,Whistling,Sumo wrestler,"Mocha,No milk,No sugar",Sporty,K.K. Island,"NL, HHD. NH"
152,Genji,https://vignette.wikia.nocookie.net/animalcrossing/images/6/67/Genji_NH.png/revision/latest/scale-to-width-down/252?cb=20200322125429,Male,Jock,Rabbit,January 21st (Aquarius),(Aquarius),"""mochi""",Misty Tee,A haunted house,Subsistence living,Politician,"Blue Mountain, Lots of milk, Three spoonfuls of sugar",Iconic,King K.K.,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, NH"
333,Snake,https://vignette.wikia.nocookie.net/animalcrossing/images/e/ec/Snake_NH.png/revision/latest/scale-to-width-down/257?cb=20200321203921,Male,Jock,Rabbit,November 3rd (Scorpio),(Scorpio),"""bunyip""",Zipper Shirt,A ninja mansion,Playing jacks,Soccer player,"Blue Mountain,Lots of milk,Three spoonfuls of sugar",Sporty,K.K. Lullaby,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH"
355,Tank,https://vignette.wikia.nocookie.net/animalcrossing/images/0/09/NH-Tank-Render.png/revision/latest/scale-to-width-down/315?cb=20200202220541,Male,Jock,Rhino,May 6th (Taurus),(Taurus),"""kerPOW""",No. 1 Shirt,Unknown,Doing push-ups,Cartoonist,"Blue Mountain,No Milk,No Sugar",Rock 'n' roll,K.K. Lament,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH"
116,Dom,https://vignette.wikia.nocookie.net/animalcrossing/images/7/75/Dom_NH.png/revision/latest?cb=20200317175119,Male,Jock,Sheep,March 18th (Pisces),(Pisces),"""indeedaroo""",Rainbow Tee (PC)Tie-dye tee (NH),Unknown,Unknown,Unknown,Unknown,Unknown,K.K. Country,"PC, NH"
327,Sheldon,https://vignette.wikia.nocookie.net/animalcrossing/images/c/ce/Sheldon_NH.png/revision/latest/scale-to-width-down/350?cb=20200309012427,Male,Jock,Squirrel,February 26th (Pisces),(Pisces),"""cardio""",Tiger Jacket,An all-you-can-game room,Making puns,Mayor,"Kilimanjaro,a little bit of milk,one spoonful of sugar",Rock 'n' roll,K.K. Folk,"NL, NH"
205,Leonardo,https://vignette.wikia.nocookie.net/animalcrossing/images/0/0a/Leonardo_NH.png/revision/latest/scale-to-width-down/286?cb=20200308194554,Male,Jock,Tiger,May 15th (Taurus),(Taurus),"""flexin""",Three-Ball Tee,A sports arena,Playing Catch,Soccer player,"Mocha, A little bit of milk,One spoonful of sugar",Sporty,K.K. Safari,"AFe+, NL, NH"
318,Rowan,https://vignette.wikia.nocookie.net/animalcrossing/images/6/68/Nhrowan.png/revision/latest/scale-to-width-down/350?cb=20200317171739,Male,Jock,Tiger,August 26th (Virgo),(Virgo),"""mango""",Blue Aloha Shirt (AC)Aqua Polka Tee (WW - NH,A treasure shop,Waking up early,Basketball player,"Mocha,A little bit of milk,One spoonful of sugar",Rock 'n' roll,K.K. Love Song,"AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH"
369,Tybalt,https://vignette.wikia.nocookie.net/animalcrossing/images/1/1c/Tybalt.png/revision/latest/scale-to-width-down/289?cb=20200308194935,Male,Jock,Tiger,August 19th (Leo),(Leo),"""grrRAH""","Two-Ball Shirt (AF, AC, WW, CF, NL)Simple Parka (NH)",Unknown,Bunting,Soccer Player,"Kilimanjaro,No milk,No sugar",Unknown,K.K. Salsa,"AF, AF+, AC, AFe+, NL, NH"
4,Alfonso,https://vignette.wikia.nocookie.net/animalcrossing/images/d/d8/Alfonso_NewHorizons.png/revision/latest?cb=20200408175408,Male,Lazy,Alligator,June 9th (Gemini),(Gemini),"""it'sa me""",Big Bro's Tee (AF-PC) Simple Parka  (New Horizons) ,A starry-sky cake dream,Fishing,Cartoonist,"Mocha,The regular amount of milk,Two spoonfuls of sugar",Basic,Forest Life,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH"
119,Drago,https://vignette.wikia.nocookie.net/animalcrossing/images/6/69/Drago.png/revision/latest?cb=20161211213032,Male,Lazy,Alligator,February 12th (Aquarius),(Aquarius),"""burrrn""",Dragon Suit,A mochi delight,Blowing bubbles,Pilot,"Kilimanjaro, Just a little bit of milk,One spoonful of sugar",Iconic,Imperial K.K.,"NL, HHD, PC, NH"
250,Nate,https://vignette.wikia.nocookie.net/animalcrossing/images/f/ff/Nate.png/revision/latest/scale-to-width-down/240?cb=20130718135921,Male,Lazy,Bear,August 16th (Leo),(Leo),"""yawwwn""",Spring Shirt,A cardboard life,Playing horseshoes,Sumo wrestler,"Mocha,None at all,None at all",Basic,K.K. Lullaby,"AF, AF+, AC, AFe+, CF, NL, NH"
9,Anchovy,https://vignette.wikia.nocookie.net/animalcrossing/images/4/40/Anchovy_NewLeaf_Official.png/revision/latest/scale-to-width-down/274?cb=20130721164756,Male,Lazy,Bird,March 4th (Pisces),(Pisces),"""chuurp""","Straw Shirt (AC)Earthy Knit Shirt (WW, CF, NL)",A brand-new hat shop,Remembering stuff,Explorer,"Blue Mountain,The regular amount of milk,Two spoonfuls of sugar",Flashy,K.K. Ragtime,"AF, AF+, AC, AFe+, WW, CF, NL, NH"
179,Jacob,https://vignette.wikia.nocookie.net/animalcrossing/images/d/da/Jacob_NL.png/revision/latest?cb=20161228214704,Male,Lazy,Bird,August 24th (Virgo),(Virgo),"""chuuuuurp""",green tie dye shirt,Unknown,Staying up late,Poet,"Mocha,A little bit of milk,1 spoonful of sugar",Unknown,K.K. Song,"AFe+, NL, NH"
311,Rodeo,https://vignette.wikia.nocookie.net/animalcrossing/images/7/7f/Rodeo_-_Animal_Crossing_New_Leaf.png/revision/latest/scale-to-width-down/305?cb=20130708043412,Male,Lazy,Bull,October 29th (Scorpio),(Scorpio),"""chaps""",Beatnik Tee(NL) Graduation Gown(NH),A milk factory,Spoon bending,Astronaut,"Blue Mountain,  The regular amount of milk,  Two spoonfuls of sugar",Historical,Stale Cupcakes,"WW, CF, NL, HHD, PC, NH"
346,Stu,https://vignette.wikia.nocookie.net/animalcrossing/images/3/3b/Stu_NewHorizons.png/revision/latest?cb=20200408105347,Male,Lazy,Bull,April 20th (Taurus),(Taurus),"""moo-dude""",seven-ball Shirt,Unknown,Hitting snooze,Firefighter,"Mocha, a little bit of milk, 1 spoonful of sugar",Unknown,K.K. Rockabilly,"AF, AF+, AC, AFe+, NL, NH"
47,Bob,https://vignette.wikia.nocookie.net/animalcrossing/images/b/be/175px-Bob_NLa.png/revision/latest?cb=20200413200623,Male,Lazy,Cat,January 1st (Capricorn),(Capricorn),"""pthhhpth""",Blossom Tee,A floral atmosphere,Yo-Yoing,Detective,"Kilamanjaro,No milk,No sugar",Flashy,[[K.K. Ragtime Neopolitan (NH)]],"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH"
239,Moe,https://vignette.wikia.nocookie.net/animalcrossing/images/c/cc/Moe.png/revision/latest/scale-to-width-down/350?cb=20180625223045,Male,Lazy,Cat,January 12th (Capricorn),(Capricorn),"""myawn""","Fish Bone Shirt (Animal Forest e+)  BB Tee (WW, CF, NL, PC)",A magician's hideaway,Fishing,CEO,"Kilimanjaro,None at all,None at all",Sporty,K.K. Ragtime,"AFe+, WW, CF, HHD, PC, NH"
292,Punchy,https://vignette.wikia.nocookie.net/animalcrossing/images/c/c2/-Punchy_-_Animal_Crossing_New_Leaf.png/revision/latest/scale-to-width-down/241?cb=20130708013206,Male,Lazy,Cat,April 11th (Aries),(Aries),"""mrmpht""","GC Shirt (AF+) Cherry Shirt (AC)Gray Tartan Tee (WW, CF, NL, PC)",A room for entertaining cats,Staying awake,Cartoonist,"Kilimanjaro,None at all,None at all",Basic,K.K. Love Song,"AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH"
33,Benedict,https://vignette.wikia.nocookie.net/animalcrossing/images/d/d0/Benedict_NewLeaf_Official.png/revision/latest/scale-to-width-down/350?cb=20130721172612,Male,Lazy,Chicken,October 10th (Libra),(Libra),"""uh-hoo""",Two-Ball Tee,A journey through space,Remembering stuff,Poet,"Mocha,Just a little bit of milk,One spoonful of sugar",Historical,I Love You,"AFe+, WW, CF, NH"
123,Egbert,https://vignette.wikia.nocookie.net/animalcrossing/images/a/a8/Egbert_HD.png/revision/latest/scale-to-width-down/350?cb=20180404115854,Male,Lazy,Chicken,October 14th (Libra),(Libra),"""doodle-duh""",Swell Tee,An even-numbered room,Cramming for tests,Astronaut,"Mocha,Just a little bit of milk,One spoonful of sugar",Historical,K.K. Technopop,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH"
27,Barold,https://vignette.wikia.nocookie.net/animalcrossing/images/6/67/Barold_HD.png/revision/latest/scale-to-width-down/350?cb=20180518161236,Male,Lazy,Cub,March 2nd (Pisces),(Pisces),"""cubby""",Tiger Tee,A room for stew.,Computing,Programmer,"Blue Mountain,None at all,None at all",Historical,My Place,"NL, NH"
79,Chester,https://vignette.wikia.nocookie.net/animalcrossing/images/5/5a/Chester_-_Animal_Crossing_New_Leaf.png/revision/latest/scale-to-width-down/293?cb=20130708001600,Male,Lazy,Cub,August 6th (Leo),(Leo),"""rookie""",Yellow-Bar Tee,Unknown,Trivia,Teacher,"Blend,Just a little bit of milk,One spoonful of sugar",Basic,Imperial K.K.,"CF, NL, NH"
291,Pudge,https://vignette.wikia.nocookie.net/animalcrossing/images/7/72/Pudge_NewLeaf_Official.png/revision/latest/scale-to-width-down/269?cb=20130721205448,Male,Lazy,Cub,June 11th (Gemini),(Gemini),"""pudgy""","Green Ring Shirt (Animal Crossing, Wild World)Chichi-Print Tee (City Folk)",A nouveau-riche retreat,Blowing bubbles,Chef,"Blend, Just a little bit of milk,  One spoonful of sugar",Historical,Rockin' K.K.,"AF, AF+, AC, AFe+, WW, CF, NL, NH"
345,Stitches,https://vignette.wikia.nocookie.net/animalcrossing/images/5/56/Stitches_NH.png/revision/latest?cb=20200413171903,Male,Lazy,Cub,February 10th (Aquarius),(Aquarius),"""stuffin'""",Big-Star Tee,A colorful toybox,Forgetting stuff,Lawyer,"Blend,Just a little bit of milk,One spoonful of sugar",Flashy,K.K. Lullaby,"WW, CF, NL, HHD, PC, NH"
28,Beau,https://vignette.wikia.nocookie.net/animalcrossing/images/d/d4/Beau_NH.png/revision/latest/scale-to-width-down/290?cb=20200501231808,Male,Lazy,Deer,April 5th (Aries),(Aries),"""saltlick""",Deer Shirt,A self-indulgent picnic spot,Staying awake,Mayor,"Mocha, Lots of milk, Three spoonfuls of sugar",Basic,Mountain Song,"NL, HHD, PC, NH"
129,Erik,https://vignette.wikia.nocookie.net/animalcrossing/images/a/a9/Erik_HD.png/revision/latest/scale-to-width-down/350?cb=20180404114430,Male,Lazy,Deer,July 27th (Leo),(Leo),"""chow down""",Comfy Sweater,A cozy mountain cottage,Playing horseshoes,Carpenter,"Mocha,Lots of milk,Three spoonfuls of sugar",Basic,Neapolitan,"NL, NH"
34,Benjamin,https://vignette.wikia.nocookie.net/animalcrossing/images/7/7f/Benjamin_HD.png/revision/latest/scale-to-width-down/350?cb=20180518161900,Male,Lazy,Dog,August 3rd (Leo),(Leo),"""alrighty""",Subdued-Print Tee,A life of self-sufficiency,Brainteasers,Archaeologist,"Kilimanjaro,Just a little bit of milk,One spoonful of sugar",Historical,Wandering,"NL, NH"
42,Biskit,https://vignette.wikia.nocookie.net/animalcrossing/images/d/df/Biskit_NewLeaf_Official.png/revision/latest/scale-to-width-down/309?cb=20130721174109,Male,Lazy,Dog,May 13th (Taurus),(Taurus),"""dog""",Mod Top (AC)  Deep-Blue Tee(NL)Meme Shirt(NH),An eggstravaganza,Hitting snooze,Architect,"Mocha,The regular amount of milk,Two spoonfuls of sugar",Basic,K.K. Mambo,"AF, AF+, AC, AFe+, WW, CF, NL, NH"
49,Bones,https://vignette.wikia.nocookie.net/animalcrossing/images/7/70/Bones_NewLeaf_Official.png/revision/latest/scale-to-width-down/309?cb=20130721174243,Male,Lazy,Dog,August 4th (Leo),(Leo),"""yip yip""",Caveman Tank,A second childhood,Telling jokes,Explorer,"Mocha,The regular amount of milk,Two spoonfuls of sugar",Historical,Forest Life,"AF, AF+, AC, AFe+, WW, CF, NL, NH"
215,Lucky,https://vignette.wikia.nocookie.net/animalcrossing/images/e/e0/LuckyNH.png/revision/latest?cb=20200504212747,Male,Lazy,Dog,November 4th (Scorpio),(Scorpio),"""rrr-owch""",No. 23 Shirt,A lucky room for a lucky life,Forgetting stuff,Doctor,"Mocha,The regular amount of milk, Two spoonfuls of sugar",Flashy,K.K. Dirge,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH"
