,Name,Gender,Personality,Species,Birthday,Horoscope,Initial_Phrase,Initial Clothes,Home_Request,Skill,Goal,Coffee,Style,Favorite_Song,Appearances,Rank_Overall,Rank,Image,Updated Date,Tier
216,Puddles,Female,Peppy,Frog,January 13th (Capricorn),Capricorn,"""splish""",Lovely Tee,"An adorable, pink room",Limboing,Tennis Player,"Blue Mountain,The regular amount of milk,Two spoonfuls of sugar",Ornate,K.K. Ballad,"AF, AF+, AC, AFe+, WW, CF, NL, NH",328,75,https://www.animalcrossingportal.com/images/villagers/icons/puddles.png,15th May 2020,Tier 6
354,Rhonda,Female,Normal,Rhino,January 24th (Aquarius),Aquarius,"""bigfoot""","Bodice (CF)Corseted Shirt (NL, PC)",A relaxing island getaway,Making Crafts,Writer,"Mocha,Lots of milk,Three spoonfuls of sugar",Ornate,K.K. Ballad,"WW, CF, NL, HHD, PC, NH",337,84,https://www.animalcrossingportal.com/images/villagers/icons/rhonda.png,15th May 2020,Tier 6
109,Bruce,Male,Cranky,Deer,May 26th (Gemini),Gemini,"""gruff""",After-School Jacket,A mah-jongg parlor,Memorizing Stuff,Pro Golfer,"Blue Mountain,None at all,None at all",Rock 'N' Roll,K.K. Blues,"NL, HHD, PC, NH",106,35,https://www.animalcrossingportal.com/images/villagers/icons/bruce.png,15th May 2020,Tier 4
291,Drake,Male,Lazy,Duck,June 25th (Cancer),Cancer,"""quacko""",Folk Shirt,A break room with a view,Rock Paper Scissors,Cartoonist,"Blend,None at all,None at all",Modern,K.K. Blues,"WW, CF, NL, HHD, PC, NH",187,76,https://www.animalcrossingportal.com/images/villagers/icons/drake.png,15th May 2020,Tier 5
327,Mallary,Female,Snooty,Duck,November 17th (Scorpio),Scorpio,"""quackpth""",Blue-Stripe Tee,A harvest-centric home,Debating,Esthetician,"Blend,None at all,None at all",Modern,K.K. Bossa,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, NH",285,34,https://www.animalcrossingportal.com/images/villagers/icons/mallary.png,15th May 2020,Tier 6
51,Goldie,Female,Normal,Dog,December 27th (Capricorn),Capricorn,"""woof""","Hippie Shirt (AC)Red Check Tee (WW)Dapper Tee (CF, NL, PC)Tweed Dress (NH)",A forest of books,Dusting,Dentist,"Blue Mountain,Lots of milk,Three spoonfuls of sugar",Basic,K.K. Bossa,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",29,14,https://www.animalcrossingportal.com/images/villagers/icons/goldie.png,15th May 2020,Tier 2
3,Marshal,Male,Smug,Squirrel,September 29th (Libra),Libra,"""sulky""",Denim Jacket(NL) Puffy Vest(NH),A world-famous café,Mental Math,Designer,"Kilimanjaro,A little bit of milk,One spoonful of sugar",Ornate,K.K. Bossa,"NL, PC, NH",1,1,https://www.animalcrossingportal.com/images/villagers/icons/marshal.png,15th May 2020,Tier 1
193,Margie,Female,Normal,Elephant,January 28th (Aquarius),Aquarius,"""tootie""",Hot Spring Tee,A place full of clothes,Playing Old Maid,Pastry Chef,"Blend,None at all,None at all",Iconic,K.K. Bossa,"AFe+, WW, CF, HHD, PC, NH, Dōbutsu no Mori",284,33,https://www.animalcrossingportal.com/images/villagers/icons/margie.png,15th May 2020,Tier 6
358,Robin,Female,Snooty,Bird,December 4th (Sagittarius),Sagittarius,"""la-di-da""",Kiwi Tee,A country teahouse,Skimming Books,Dermatologist,"Blue Mountain,The regular amount of milk,Two spoonfuls of sugar",Official,K.K. Bossa,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",340,87,https://www.animalcrossingportal.com/images/villagers/icons/robin.png,15th May 2020,Tier 6
343,Peggy,Female,Peppy,Pig,May 23rd (Gemini),Gemini,"""shweetie""",Blue-Stripe Tee(NL) Aran-knit Sweater(NH),A mermaid's life,Stomping Around,Movie Star,"Blue Mountain, A little bit of milk,One spoonful of sugar",Sporty,K.K. Bossa,"AFe+, CF, NL, HHD, NH",315,62,https://www.animalcrossingportal.com/images/villagers/icons/peggy.png,15th May 2020,Tier 6
388,Wendy,Female,Peppy,Sheep,August 15th (Leo),Leo,"""lambkins""",Watermelon Tank,A place to spin records,Ventriloquism,Violinist,"House blend,The regular amount of milk,Two spoonfuls of sugar",Flashy,K.K. Bossa,"CF, NL, HHD, PC, NH",389,135,https://www.animalcrossingportal.com/images/villagers/icons/wendy.png,15th May 2020,Tier 6
316,Joey,Male,Lazy,Duck,January 3rd (Capricorn),Capricorn,"""bleeeeeck""",No.3 Shirt,A spa featuring cool milk,Blowing Bubbles,Sumo Wrestler,"Blend,None at all,None at all",Basic,K.K. Calypso,"AF, AF+, AC, AFe+, WW, CF, NL, NH",224,113,https://www.animalcrossingportal.com/images/villagers/icons/joey.png,15th May 2020,Tier 5
208,Patty,Female,Peppy,Cow,May 10th (Taurus),Taurus,"""how-now""",Citrus Tee,An everyday cookout,Competitive Eating,Pastry Chef,"Kilimanjaro, The regular amount of milk,  Two spoonfuls of sugar",Modern,K.K. Calypso,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",309,56,https://www.animalcrossingportal.com/images/villagers/icons/patty.png,15th May 2020,Tier 6
22,Fang,Male,Cranky,Wolf,December 18th (Sagittarius),Sagittarius,"""cha-chomp""",Icy Shirt (NL)Snowy Sweater (NH),A chair showcase,Mental Math,Hair Stylist,"Blend,Lots of milk,Three spoonfuls of sugar",Official,K.K. Calypso,"AF, AF+, AC, AFe+, CF, NL, HHD, PC, NH",35,20,https://www.animalcrossingportal.com/images/villagers/icons/fang.png,15th May 2020,Tier 2
248,Twiggy,Female,Peppy,Bird,July 13th (Cancer),Cancer,"""cheepers""",Barber Tee,Surrounded by souvenirs,Spoon Bending,Dentist,"Kilimanjaro,None at all,None at all",Flashy,K.K. Calypso,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",380,126,https://www.animalcrossingportal.com/images/villagers/icons/twiggy.png,15th May 2020,Tier 6
307,Harry,Male,Jock,Hippo,January 7th (Capricorn),Capricorn,"""beach bum""","Blue Aloha Shirt (AFe+) Jungle-Camo Tee (CF, NL)Camo Tee (NH)",A slop-tastic pad,Tongue Twisters,Fisherman,"Mocha,None at all,None at all",Historical,K.K. Calypso,"AFe+, CF, NL, NH",274,23,https://www.animalcrossingportal.com/images/villagers/icons/harry.png,15th May 2020,Tier 6
158,Elvis,Male,Cranky,Lion,July 23rd (Leo),Leo,"""unh-hunh""",Royal Shirt,A royal palace,Competitive Eating,Tycoon,"Blue Mountain, No milk, No sugar",Ornate,K.K. Casbah,"WW, CF, NL, NH",193,82,https://www.animalcrossingportal.com/images/villagers/icons/elvis.png,15th May 2020,Tier 5
350,Puck,Male,Lazy,Penguin,February 21st (Pisces),Pisces,"""brrrrrrrrr""",BB Tee,A chilly room for icy sports,Doing Handstands,Superhero,"Blend, A little bit of milk,  One sugar",Sporty,K.K. Casbah,"AF, AF+, AC, AFe+, CF, NL, HHD, PC, NH",327,74,https://www.animalcrossingportal.com/images/villagers/icons/puck.png,15th May 2020,Tier 6
162,Frank,Male,Cranky,Eagle,July 30th (Leo),Leo,"""crushy""",Blue Aloha Shirt (AFe+)Black Letter Jacket (NL),A miniatures museum,Pretending To Sleep,Teacher,"Kilimanjaro,Just a little bit of milk,One spoonful of sugar",Rock 'N' Roll,K.K. Casbah,"AFe+, NL, NH",199,88,https://www.animalcrossingportal.com/images/villagers/icons/frank.png,15th May 2020,Tier 5
337,Pango,Female,Peppy,Anteater,November 9th (Scorpio),Scorpio,"""snooooof""",Subdued-Print Tee,"A posh, private day spa",Tongue Twisters,Esthetician,"Kilimanjaro,  Just a little bit of milk,  One spoonful of sugar",Modern,K.K. Casbah,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, NH",306,53,https://www.animalcrossingportal.com/images/villagers/icons/pango.png,15th May 2020,Tier 6
84,Chevre,Female,Normal,Goat,March 6th (Pisces),Pisces,"""la baa""",Natty Tee,A high-security bank vault,Calculating Tips,Teacher,"Blue Mountain,None at all,None at all",Cute,K.K. Chorale,"AF, AF+, AC, AFe+, WW, CF, NL, PC, NH",51,11,https://www.animalcrossingportal.com/images/villagers/icons/chevre.png,15th May 2020,Tier 3
318,Kitt,Female,Normal,Kangaroo,October 11th (Libra),Libra,"""child""","Deep Blue Shirt (AC), Blue Diamond Tee (WW, CF, NL)",An electronic showroom,Whistling,Cartoonist,"Blend,The regular amount of milk,Two spoonfuls of sugar",Official,K.K. Chorale,"AF, AF+, AC, AFe+, WW, CF, NL, PC, NH",231,120,https://www.animalcrossingportal.com/images/villagers/icons/kitt.png,15th May 2020,Tier 5
252,Alli,Female,Snooty,Alligator,November 8th (Scorpio),Scorpio,"""graaagh""",Leopard Tee,A mushroom manor,Yo-Yoing,Stylist,"Mocha,The regular amount of milk,Two spoonfuls of sugar",Ornate,K.K. Chorale,"AF, AF+, AC, AFe+, WW, CF, NL, NH",252,1,https://www.animalcrossingportal.com/images/villagers/icons/alli.png,15th May 2020,Tier 6
305,Grizzly,Male,Cranky,Bear,July 31st (Leo),Leo,"""grrr...""","Houndstooth Tee (Animal Forest), Three-Ball Tee (City Folk, New Leaf, Flannel Shirt (New Horizons)",An opulent oil tycoon's hall.,Brainteasers,Photographer,"Blend,The regular amount of milk,Two spoonfuls of sugar",Basic,K.K. Condor,"AF, AF+, AC, AFe+, CF, NL, NH",209,98,https://www.animalcrossingportal.com/images/villagers/icons/grizzly.png,15th May 2020,Tier 5
214,Poncho,Male,Jock,Cub,January 2nd (Capricorn),Capricorn,"""li'l bear""",Blue-Grid Tee,A wild west space,Making Puns,Astronaut,"Mocha, Lots of milk, Three spoonfuls of sugar",Basic,K.K. Condor,"AF, AF+, AC, AFe+, WW, CF, NL, NH",324,71,https://www.animalcrossingportal.com/images/villagers/icons/poncho.png,15th May 2020,Tier 6
114,Amelia,Female,Snooty,Eagle,November 19th (Scorpio),Scorpio,"""cuz""",Spiderweb TeeAran-knit sweater (NH),"An elegant, lofty space",Playing Poker,Lawyer,"Blue Mountain,Lots of milk,Three spoonfuls of sugar",Ornate,K.K. Condor,"AF, AF+, AC, AFe+, WW, CF, NL, NH",120,9,https://www.animalcrossingportal.com/images/villagers/icons/amelia.png,15th May 2020,Tier 5
121,Avery,Male,Cranky,Eagle,February 22nd (Pisces),Pisces,"""skree-haw""",Uncommon Shirt,A room full of fossils,Skimming Books,Professor,"Kilimanjaro,Just a little bit of milk,One spoonful of sugar",Iconic,K.K. Condor,"AFe+, CF, NL, HHD, PC, NH",125,14,https://www.animalcrossingportal.com/images/villagers/icons/avery.png,15th May 2020,Tier 5
238,Sydney,Female,Normal,Koala,June 21st (Gemini),Gemini,"""sunshine""",Big-Dot Tee,An office with a phone,Chopping Vegetables,Translator,"Mocha,None at all,None at all",Iconic,K.K. Country,"AF, AF+, AC, AFe+, CF, NL, NH",362,108,https://www.animalcrossingportal.com/images/villagers/icons/sydney.png,15th May 2020,Tier 6
187,Kody,Male,Jock,Cub,September 28th (Libra),Libra,"""grah-grah""","Far-Out Shirt  (AC)Orange Check Shirt  (WW, CF) Racer Tee  (NL)",A blue training space,Eating Frequently,Baseball Player,"Mocha,Lots of milk,Three spoonfuls of sugar",Sporty,K.K. Country,"AF, AF+, AC, AFe+, WW, CF, NL, NH",234,123,https://www.animalcrossingportal.com/images/villagers/icons/kody.png,15th May 2020,Tier 5
32,Kiki,Female,Normal,Cat,October 8th (Libra),Libra,"""kitty cat""",Argyle Knit Shirt,A replica aquarium,Fishing,Writer,"Mocha,Just a little bit of milk,One spoonful of sugar",Basic,K.K. Country,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",45,5,https://www.animalcrossingportal.com/images/villagers/icons/kiki.png,15th May 2020,Tier 3
111,Ava,Female,Normal,Chicken,April 28th (Taurus),Taurus,"""beaker""",Checkerboard Tee,A professional kitchen,Peeling Apples,Pastry Chef,"Blue Mountain,The regular amount of milk,Two spoonfuls of sugar",Official,K.K. Country,"AF, AF+, AC, AFe+, NL, HHD, PC, NH",118,7,https://www.animalcrossingportal.com/images/villagers/icons/ava.png,15th May 2020,Tier 5
274,Cashmere,Female,Snooty,Sheep,April 2nd (Aries),Aries,"""baaaby""",Nebula Shirt,Unknown,Peeling Apples,Chef,"Blend,The regular amount of milk,2 spoonfuls of sugar",Unknown,K.K. Country,"AF, AF+, AC, AFe+, NL, NH",262,11,https://www.animalcrossingportal.com/images/villagers/icons/cashmere.png,15th May 2020,Tier 6
380,Victoria,Female,Peppy,Horse,July 11th (Cancer),Cancer,"""sugar cube""","Racer 6 shirt (AFe+)One-Ball Tee (WW, CF)",A lucky yellow room,Playing Horseshoes,Marathon Runner,"Mocha,Just a little bit of milk,One spoonful of sugar",Sporty,K.K. Country,"AFe+, WW, CF, NL, NH",249,138,https://www.animalcrossingportal.com/images/villagers/icons/victoria.png,15th May 2020,Tier 5
156,Drift,Male,Jock,Frog,October 9th (Libra),Libra,"""brah""","Blue Aloha Shirt (AC)No. 67 Shirt (WW, CF, NL, PC)",A hospital lobby,Shadow Puppetry,Tycoon,"Blue Mountain,The regular amount of milk,Two spoonfuls of sugar",Flashy,K.K. Country,"AF+, AC, AFe+, WW, CF, NL, NH",188,77,https://www.animalcrossingportal.com/images/villagers/icons/drift.png,15th May 2020,Tier 5
377,Ursala,Female,Sisterly,Bear,January 16th (Capricorn),Capricorn,"""grooomph""",Pastel-Stripe Tee,Unknown,Staying Positive,Florist,"Mocha,No milk, No sugar",Unknown,K.K. Country,"AF, AF+, AC, AFe+,NL, NH",381,127,https://www.animalcrossingportal.com/images/villagers/icons/ursula.png,15th May 2020,Tier 6
36,Dom,Male,Jock,Sheep,March 18th (Pisces),Pisces,"""indeedaroo""",Rainbow Tee (PC)Tie-dye tee (NH),Unknown,Unknown,Unknown,Unknown,Unknown,K.K. Country,"PC, NH",23,8,https://www.animalcrossingportal.com/images/villagers/icons/dom.png,15th May 2020,Tier 2
314,Jambette,Female,Normal,Frog,October 27th (Scorpio),Scorpio,"""croak-kay""",Prism Tee,A dressing room,Ventriloquism,Artist,"Mocha,Just a little bit of milk,One spoonful of sugar",Modern,K.K. Country,"AF, AF+, AC, AFe+, CF, NL, NH",277,26,https://www.animalcrossingportal.com/images/villagers/icons/jambette.png,15th May 2020,Tier 6
303,Goose,Male,Jock,Chicken,October 4th (Libra),Libra,"""buh-kay""",Tropical Tee,A room for waking up early,Waking Up Early,Soccer Player,"Blend,Lots of milk,Three spoonfuls of sugar",Basic,K.K. Country,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",207,96,https://www.animalcrossingportal.com/images/villagers/icons/goose.png,15th May 2020,Tier 5
249,Vivian,Female,Snooty,Wolf,January 26 (Aquarius),Aquarius,"""piffle""",Subdued printAFe+Dogtooth TeeNL,Unknown,Dusting,Makeup Artist,"Blend, Lots of milk, 3 spoonfuls of sugar",Iconic,K.K. Cruisin',"AFe+, NL, NH",250,139,https://www.animalcrossingportal.com/images/villagers/icons/vivian.png,15th May 2020,Tier 5
0,Raymond,Male,Smug,Cat,October 1st (Libra),Libra,"""crisp""",Waistcoat,Unknown,Rapping,Fashion Designer,Unknown,Civic,K.K. Cruisin',"PC, NH",2,2,https://www.animalcrossingportal.com/images/villagers/icons/raymond.png,15th May 2020,Tier 1
159,Eugene,Male,Smug,Koala,October 26th (Scorpio),Scorpio,"""yeah buddy""",Pleather Vest,A space for self-reflection,Rapping,Guitarist,"Mocha, No milk, No sugar",Rock 'N' Roll,K.K. Cruisin',"NL, HHD, PC, NH",102,31,https://www.animalcrossingportal.com/images/villagers/icons/eugene.png,15th May 2020,Tier 4
244,Timbra,Female,Snooty,Sheep,October 21st (Libra),Libra,"""pine nut""",Giraffe Tee,A stargazer's dream,Spoon Bending,Stylist,"Blend,The regular amount of milk,Two spoonfuls of sugar",Ornate,K.K. Cruisin',"NL, NH",374,120,https://www.animalcrossingportal.com/images/villagers/icons/timbra.png,15th May 2020,Tier 6
50,Deirdre,Female,Sisterly,Deer,May 4th (Taurus),Taurus,"""whatevs""",Fall Leaf Tee,An autumnal atmosphere,Tiptoeing,Journalist,"Blue Mountain,None at all,None at all",Historical,K.K. Cruisin',"NL, HHD, NH",178,67,https://www.animalcrossingportal.com/images/villagers/icons/deirdre.png,15th May 2020,Tier 5
199,Murphy,Male,Cranky,Cub,December 29th (Capricorn),Capricorn,"""laddie""",Static Shirt (AC)Purple Tie Dye (NL) Fishing Vest (NH),Unknown,Brainteasers,Teacher,"Blend,A little bit of milk,1 spoonful of sugar",Unknown,K.K. D & B,"AF, AF+, AC, AFe+, NL, NH",296,44,https://www.animalcrossingportal.com/images/villagers/icons/murphy.png,15th May 2020,Tier 6
44,Zell,Male,Smug,Deer,June 7th (Gemini),Gemini,"""pronk""",Arctic-Camo Tee,A themed hotel,Calculating Tips,Movie Director,"Blend,Just a little bit of milk,One spoonful of sugar",Modern,K.K. D & B,"NL, HHD, PC, NH",64,24,https://www.animalcrossingportal.com/images/villagers/icons/zell.png,15th May 2020,Tier 3
302,Gonzo,Male,Cranky,Koala,October 13th (Libra),Libra,"""mate""","Earthy Knit (AF, AF+, AC, AFe+, NL)Reindeer Sweater (NH)",Unknown,Mental Math,Mayor,"Kilimanjaro,Lots of milk,Three spoonfuls of sugar",Unknown,K.K. D & B,"AF, AF+, AC, AFe+, NL, NH",206,95,https://www.animalcrossingportal.com/images/villagers/icons/gonzo.png,15th May 2020,Tier 5
173,Hans,Male,Smug,Gorilla,December 5th (Sagittarius),Sagittarius,"""groovy""",Blue Argyle Tee,An indoor ski run.,Spoon Bending,Painter,"Blue Mountain,None at all,None at all",Official,K.K. D & B,"NL, PC, NH",213,102,https://www.animalcrossingportal.com/images/villagers/icons/hans.png,15th May 2020,Tier 5
27,Octavian,Male,Cranky,Octopus,September 20th (Virgo),Virgo,"""sucker""",Big-Star Tee (AF-PC)GOLD Tee (NH),A squid-showdown citadel,Trivia,Fisherman,"Blend,No milk,No sugar",Official,K.K. D & B,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",52,12,https://www.animalcrossingportal.com/images/villagers/icons/octavian.png,15th May 2020,Tier 3
93,Lucky,Male,Lazy,Dog,November 4th (Scorpio),Scorpio,"""rrr-owch""",No. 23 Shirt,A lucky room for a lucky life,Forgetting Stuff,Doctor,"Mocha,The regular amount of milk, Two spoonfuls of sugar",Flashy,K.K. Dirge,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",14,14,https://www.animalcrossingportal.com/images/villagers/icons/lucky.png,15th May 2020,Tier 1
101,Roscoe,Male,Cranky,Horse,June 16th (Gemini),Gemini,"""nay""",Checkered Tee,A black and white bastion,Making Crafts,Lawyer,"Mocha,Just a little bit of milk,One spoonful of sugar",Cool,K.K. Dirge,"AFe+, WW, CF, HHD, PC, NH",70,30,https://www.animalcrossingportal.com/images/villagers/icons/roscoe.png,15th May 2020,Tier 3
166,Gaston,Male,Cranky,Rabbit,October 28th (Scorpio),Scorpio,"""mon chou""",Swell Tee,A backwater clinic,Ventriloquism,Tycoon,"Blue Mountain,Lots of milk,Three spoonfuls of sugar",Flashy,K.K. Dirge,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, NH",203,92,https://www.animalcrossingportal.com/images/villagers/icons/gaston.png,15th May 2020,Tier 5
5,Coco,Female,Normal,Rabbit,March 1st (Pisces),Pisces,"""doyoing""","Misty Shirt  (AC)  Dawn Tee  (WW, CF, NL) ",An ancient-artifacts exhibit,Writing Backwards,Astronaut,"Mocha,The regular amount of milk,Two spoonfuls of sugar",Iconic,K.K. Dirge,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, NH",10,10,https://www.animalcrossingportal.com/images/villagers/icons/coco.png,15th May 2020,Tier 1
129,Bonbon,Female,Peppy,Rabbit,March 3rd (Pisces),Pisces,"""deelish""",Chocomint Tee,"The ""it"" house",Competitive Eating,Swimmer,"Mocha,The regular amount of milk, 2 spoonfuls of sugar",Cute,K.K. Disco,"NL, HHD, NH",140,29,https://www.animalcrossingportal.com/images/villagers/icons/bonbon.png,15th May 2020,Tier 5
92,Hazel,Female,Sisterly,Squirrel,August 30th (Virgo),Virgo,"""uni-wow""",Red Warmup Suit,A comic artist's workshop.,Making Budgets,Dentist,"Blend,No milk,No sugar",Iconic,K.K. Disco,"NL, HHD, NH",75,5,https://www.animalcrossingportal.com/images/villagers/icons/hazel.png,15th May 2020,Tier 4
372,Tasha,Female,Snooty,Squirrel,November 30th (Sagittarius),Sagittarius,"""nice nice""","Leather Jerkin (AFe+)Shearling Coat (NL, PC)",Unknown,Photography,Hair Stylist,"Mocha,The regular amount of milk,2 spoonfuls of sugar",Unknown,K.K. Disco,"AFe+, NL, PC, NH",369,115,https://www.animalcrossingportal.com/images/villagers/icons/tasha.png,15th May 2020,Tier 6
58,Cheri,Female,Peppy,Cub,March 17th (Pisces),Pisces,"""tralala""","Yellow Bar Shirt (AC) Sunflower Tee (NL, PC)",A fruity room for juicing,Staying Positive,Marathon Runner,"Mocha,Lots of milk,Three spoonfuls of sugar",Sporty,K.K. Disco,"AF+, AC, AFe+, NL, HHD, PC, NH",160,49,https://www.animalcrossingportal.com/images/villagers/icons/cheri.png,15th May 2020,Tier 5
85,Tammy,Female,Sisterly,Cub,June 23rd (Cancer),Cancer,"""ya heard""",Red Jacket (NL)Athletic Jacket (NH),A Halloween-themed place,Staying Positive,Movie Director,"Blend,Just a little bit of milk,One spoonful of sugar",Modern,K.K. Disco,"NL, HHD, NH",367,113,https://www.animalcrossingportal.com/images/villagers/icons/tammy.png,15th May 2020,Tier 6
263,Bitty,Female,Snooty,Hippo,October 6th (Libra),Libra,"""my dear""",Funky Dot Tee,Cute homey,Stomping Around,Designer,"Mocha, None at all, None at all",Cute,K.K. Disco,"AF, AF+, AC, AFe+, NL, NH",257,6,https://www.animalcrossingportal.com/images/villagers/icons/bitty.png,15th May 2020,Tier 6
340,Paula,Female,Sisterly,Bear,March 22nd (Aries),Aries,"""yodelay""",Denim Shirt AFe+Pep Squad Tee NL,A karaoke parlor,Baton Twirling,Volleyball Player,"Kilimanjaro,Lots of milk,Three spoonfuls of sugar",Flashy,K.K. Dixie,"AFe+, NL, NH",310,57,https://www.animalcrossingportal.com/images/villagers/icons/paula.png,15th May 2020,Tier 6
122,Axel,Male,Jock,Elephant,March 23rd (Aries),Aries,"""WHONK""",Fresh Tee,A dentist's office,Competitive Eating,Basketball Player,"Kilimanjaro,Just a little bit of milk,One spoonful of sugar",Sporty,K.K. Dixie,"AF, AF+, AC, AFe+, CF, NL, NH",126,15,https://www.animalcrossingportal.com/images/villagers/icons/axel.png,15th May 2020,Tier 5
200,Nana,Female,Normal,Monkey,August 23rd (Virgo),Virgo,"""po po""",Bubble-Gum Tee,A serene park to lunch in,Making Crafts,Judge,"Kilimanjaro,Just a little bit of milk,One spoonful of sugar",Cute,K.K. Dixie,"WW, CF, NL, HHD, PC, NH",297,45,https://www.animalcrossingportal.com/images/villagers/icons/nana.png,15th May 2020,Tier 6
282,Clyde,Male,Lazy,Horse,May 1st (Taurus),Taurus,"""clip-clawp""",Bubble Gum Tee,A fresh and fruity room,Pretending To Sleep,Superhero,"Blend,Lots of milk,Three spoonfuls of sugar",Flashy,K.K. Dixie,"CF, NL, NH",166,55,https://www.animalcrossingportal.com/images/villagers/icons/clyde.png,15th May 2020,Tier 5
381,Violet,Female,Snooty,Gorilla,September 1st (Virgo),Virgo,"""sweetie""",Red Aloha Shirt (AFe+)Misty Tee (CF)(NL),A homey little restaurant,Blowing Bubbles,Pharmacist,"Mocha,Lots of milk,Three spoonfuls of sugar",Historical,K.K. Faire,"AFe+, CF, NL, NH",383,129,https://www.animalcrossingportal.com/images/villagers/icons/violet.png,15th May 2020,Tier 6
115,Antonio,Male,Jock,Anteater,October 20th (Libra),Libra,"""honk""",Big-Star TeeBone tee (NH),A place decorated simply,Playing Horseshoes,Baseball Player,"Kilimanjaro,Just a little bit of milk,One spoonful of sugar",Basic,K.K. Faire,"AFe+, WW, CF, NL, HHD, PC, NH",85,15,https://www.animalcrossingportal.com/images/villagers/icons/antonio.png,15th May 2020,Tier 4
353,Rasher,Male,Cranky,Pig,April 7th (Aries),Aries,"""swine""","Fortune Shirt (AC) Rugby Tee (WW, CF, NL)",Heist central,Staying Up Late,Ceo,"Blue Mountain,A little bit of milk,One spoonful of sugar",Rock 'N' Roll,K.K. Faire,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, NH",333,80,https://www.animalcrossingportal.com/images/villagers/icons/rasher.png,15th May 2020,Tier 6
362,Rory,Male,Jock,Lion,August 7th (Leo),Leo,"""capital""",Periwinkle Tee,Unknown,Tiptoeing,Firefighter,"Mocha,Lots of milk,Three spoonfuls of sugar",Iconic,K.K. Faire,"NL, NH",347,94,https://www.animalcrossingportal.com/images/villagers/icons/rory.png,15th May 2020,Tier 6
288,Cyrano,Male,Cranky,Anteater,March 9th (Pisces),Pisces,"""ah-CHOO""","Wave Shirt (AF, AF+, AC, AFe+)Dawn Tee (WW, CF, NL)",An odd-numbers gallery,Whistling,Journalist,"Kilimanjaro,Just a little bit of milk,One spoonful of sugar",Iconic,K.K. Faire,"AF, AF+, AC, AFe+, WW, CF, NL, NH, Dōbutsu no Mori",268,17,https://www.animalcrossingportal.com/images/villagers/icons/cyrano.png,15th May 2020,Tier 6
345,Phoebe,Female,Sisterly,Ostrich,April 22nd (Taurus),Taurus,"""sparky""",Flame Tee,A fiery hangout,Eating Frequently,Swimmer,"Kilimanjaro, Just a little bit of milk,One spoonful of sugar",Ornate,K.K. Flamenco,"NL, HHD, PC, NH",79,9,https://www.animalcrossingportal.com/images/villagers/icons/phoebe.png,15th May 2020,Tier 4
77,Flora,Female,Peppy,Ostrich,February 9th (Aquarius),Aquarius,"""pinky""",Gumdrop Tee,A place that's all pink,Staying Awake,Gymnast,"Mocha,The regular amount of milk,Two spoonfuls of sugar",Modern,K.K. Flamenco,"NL,NH",38,23,https://www.animalcrossingportal.com/images/villagers/icons/flora.png,15th May 2020,Tier 2
268,Broffina,Female,Snooty,Chicken, October 24th (Scorpio),Scorpio,"""cluckadoo""",Fiendish ShirtRumba dress (red variant)(NH),A bus station.,Typing,Translator,"Blend,Lots of milk,Three spoonfuls of sugar",Flashy,K.K. Flamenco,"NL, HHD, NH",260,9,https://www.animalcrossingportal.com/images/villagers/icons/broffina.png,15th May 2020,Tier 6
168,Gladys,Female,Normal,Ostrich,January 15th (Capricorn),Capricorn,"""stretch""",Misty Tee,A peaceful zen garden,Calligraphy,Architect,"Mocha,The regular amount of milk,Two spoonfuls of sugar",Iconic,K.K. Folk,"AFe+, WW, CF, PC, NH",204,93,https://www.animalcrossingportal.com/images/villagers/icons/gladys.png,15th May 2020,Tier 5
19,Kabuki,Male,Cranky,Cat,November 29th (Sagittarius),Sagittarius,"""meooo-OH""","Lavender Robe (AC) Misty Tee (WW, CF, NL)",A shrine for zen items,Drawing Circles,Actor,"Blue Mountain,The regular amount of milk,Two spoonfuls of sugar",Historical,K.K. Folk,"AF, AF+, AC, AFe+, WW, CF, NL, NH",40,25,https://www.animalcrossingportal.com/images/villagers/icons/kabuki.png,15th May 2020,Tier 2
321,Limberg,Male,Cranky,Mouse,October 17th (Libra),Libra,"""squinky""",Subdued-Print Tee,A self-sustaining sanctuary,Making Faces,Mayor,"Mocha,No milk,No sugar",Historical,K.K. Folk,"AF, AF+, AC, AFe+, WW, CF, NL, NH",279,28,https://www.animalcrossingportal.com/images/villagers/icons/limberg.png,15th May 2020,Tier 6
